           x             y         ux_ff       ux_sofa         uy_ff       uy_sofa        err_ux        err_uy
--------------------------------------------------------------------------------------------------------------
    0.000000      0.000000     -0.000000      0.000000     -0.000000      0.000000      0.000000      0.000000
    1.000000      0.000000     -0.003706     -0.003706     -0.029069     -0.029069     -0.000000     -0.000000
    1.000000      0.200000      0.003736      0.003736     -0.029068     -0.029068      0.000000     -0.000000
    0.000000      0.200000      0.000000      0.000000     -0.000000      0.000000     -0.000000      0.000000
    0.000000      0.171429      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000
    0.000000      0.142857      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000
    0.000000      0.114286      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000
    0.000000      0.085714     -0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000
    0.000000      0.057143     -0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000
    0.000000      0.028571     -0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000
    0.052632      0.000000     -0.000525     -0.000525     -0.000387     -0.000387     -0.000000     -0.000000
    0.105263      0.000000     -0.001029     -0.001029     -0.000921     -0.000921     -0.000000     -0.000000
    0.157895      0.000000     -0.001478     -0.001478     -0.001684     -0.001684     -0.000000     -0.000000
    0.210526      0.000000     -0.001873     -0.001873     -0.002661     -0.002661     -0.000000     -0.000000
    0.263158      0.000000     -0.002218     -0.002218     -0.003827     -0.003827     -0.000000     -0.000000
    0.315789      0.000000     -0.002516     -0.002516     -0.005157     -0.005157     -0.000000     -0.000000
    0.368421      0.000000     -0.002772     -0.002772     -0.006626     -0.006626     -0.000000     -0.000000
    0.421053      0.000000     -0.002988     -0.002988     -0.008215     -0.008215     -0.000000     -0.000000
    0.473684      0.000000     -0.003168     -0.003168     -0.009902     -0.009902     -0.000000     -0.000000
    0.526316      0.000000     -0.003315     -0.003315     -0.011670     -0.011670     -0.000000     -0.000000
    0.578947      0.000000     -0.003432     -0.003432     -0.013502     -0.013502     -0.000000     -0.000000
    0.631579      0.000000     -0.003524     -0.003524     -0.015384     -0.015384     -0.000000     -0.000000
    0.684211      0.000000     -0.003592     -0.003592     -0.017302     -0.017302     -0.000000     -0.000000
    0.736842      0.000000     -0.003641     -0.003641     -0.019245     -0.019245     -0.000000     -0.000000
    0.789474      0.000000     -0.003673     -0.003673     -0.021204     -0.021204     -0.000000     -0.000000
    0.842105      0.000000     -0.003692     -0.003692     -0.023171     -0.023171     -0.000000     -0.000000
    0.894737      0.000000     -0.003702     -0.003702     -0.025140     -0.025140     -0.000000     -0.000000
    0.947368      0.000000     -0.003705     -0.003705     -0.027106     -0.027106     -0.000000     -0.000000
    1.000000      0.028571     -0.002641     -0.002641     -0.029068     -0.029068     -0.000000     -0.000000
    1.000000      0.057143     -0.001577     -0.001577     -0.029067     -0.029067     -0.000000     -0.000000
    1.000000      0.085714     -0.000515     -0.000515     -0.029066     -0.029066     -0.000000     -0.000000
    1.000000      0.114286      0.000547      0.000547     -0.029066     -0.029066      0.000000     -0.000000
    1.000000      0.142857      0.001609      0.001609     -0.029067     -0.029067      0.000000     -0.000000
    1.000000      0.171429      0.002672      0.002672     -0.029067     -0.029067      0.000000     -0.000000
    0.947368      0.200000      0.003736      0.003736     -0.027107     -0.027107      0.000000     -0.000000
    0.894737      0.200000      0.003732      0.003732     -0.025142     -0.025142      0.000000     -0.000000
    0.842105      0.200000      0.003722      0.003722     -0.023174     -0.023174      0.000000     -0.000000
    0.789474      0.200000      0.003703      0.003703     -0.021207     -0.021207      0.000000     -0.000000
    0.736842      0.200000      0.003670      0.003670     -0.019249     -0.019249      0.000000     -0.000000
    0.684211      0.200000      0.003620      0.003620     -0.017307     -0.017307      0.000000     -0.000000
    0.631579      0.200000      0.003551      0.003551     -0.015389     -0.015389      0.000000     -0.000000
    0.578947      0.200000      0.003458      0.003458     -0.013508     -0.013508      0.000000     -0.000000
    0.526316      0.200000      0.003339      0.003339     -0.011677     -0.011677      0.000000     -0.000000
    0.473684      0.200000      0.003190      0.003190     -0.009910     -0.009910      0.000000     -0.000000
    0.421053      0.200000      0.003008      0.003008     -0.008223     -0.008223      0.000000     -0.000000
    0.368421      0.200000      0.002790      0.002790     -0.006636     -0.006636      0.000000     -0.000000
    0.315789      0.200000      0.002532      0.002532     -0.005167     -0.005167      0.000000     -0.000000
    0.263158      0.200000      0.002232      0.002232     -0.003839     -0.003839      0.000000     -0.000000
    0.210526      0.200000      0.001886      0.001886     -0.002676     -0.002676      0.000000     -0.000000
    0.157895      0.200000      0.001493      0.001493     -0.001700     -0.001700      0.000000     -0.000000
    0.105263      0.200000      0.001053      0.001053     -0.000937     -0.000937      0.000000     -0.000000
    0.052632      0.200000      0.000569      0.000569     -0.000398     -0.000398      0.000000     -0.000000
    0.052632      0.028571     -0.000349     -0.000349     -0.000295     -0.000295     -0.000000     -0.000000
    0.052632      0.057143     -0.000203     -0.000203     -0.000239     -0.000239     -0.000000     -0.000000
    0.052632      0.085714     -0.000070     -0.000070     -0.000212     -0.000212     -0.000000     -0.000000
    0.052632      0.114286      0.000059      0.000059     -0.000211     -0.000211      0.000000     -0.000000
    0.052632      0.142857      0.000194      0.000194     -0.000236     -0.000236      0.000000     -0.000000
    0.052632      0.171429      0.000350      0.000350     -0.000293     -0.000293      0.000000     -0.000000
    0.105263      0.028571     -0.000705     -0.000705     -0.000828     -0.000828     -0.000000     -0.000000
    0.105263      0.057143     -0.000413     -0.000413     -0.000769     -0.000769     -0.000000     -0.000000
    0.105263      0.085714     -0.000139     -0.000139     -0.000740     -0.000740     -0.000000     -0.000000
    0.105263      0.114286      0.000132      0.000132     -0.000742     -0.000742      0.000000     -0.000000
    0.105263      0.142857      0.000412      0.000412     -0.000776     -0.000776      0.000000     -0.000000
