           x             y         ux_ff       ux_sofa         uy_ff       uy_sofa        err_ux        err_uy
--------------------------------------------------------------------------------------------------------------
    0.000000      0.000000     -0.000000      0.000000     -0.000000      0.000000      0.000000      0.000000
    1.000000      0.000000     -0.004112     -0.003706     -0.032140     -0.029069      0.000406      0.003071
    1.000000      0.200000      0.004131      0.003736     -0.032139     -0.029068     -0.000395      0.003071
    0.000000      0.200000      0.000000      0.000000     -0.000000      0.000000     -0.000000      0.000000
    0.000000      0.171429      0.000000      0.000000     -0.000000      0.000000     -0.000000      0.000000
    0.000000      0.142857      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000
    0.000000      0.114286      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000
    0.000000      0.085714     -0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000
    0.000000      0.057143     -0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000
    0.000000      0.028571     -0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000
    0.052632      0.000000     -0.000612     -0.000525     -0.000378     -0.000387      0.000087     -0.000009
    0.105263      0.000000     -0.001167     -0.001029     -0.000969     -0.000921      0.000138      0.000049
    0.157895      0.000000     -0.001660     -0.001478     -0.001818     -0.001684      0.000182      0.000134
    0.210526      0.000000     -0.002094     -0.001873     -0.002903     -0.002661      0.000221      0.000242
    0.263158      0.000000     -0.002474     -0.002218     -0.004196     -0.003827      0.000256      0.000369
    0.315789      0.000000     -0.002802     -0.002516     -0.005669     -0.005157      0.000286      0.000512
    0.368421      0.000000     -0.003083     -0.002772     -0.007297     -0.006626      0.000312      0.000670
    0.421053      0.000000     -0.003321     -0.002988     -0.009055     -0.008215      0.000334      0.000841
    0.473684      0.000000     -0.003520     -0.003168     -0.010923     -0.009902      0.000352      0.001021
    0.526316      0.000000     -0.003682     -0.003315     -0.012880     -0.011670      0.000367      0.001210
    0.578947      0.000000     -0.003811     -0.003432     -0.014907     -0.013502      0.000379      0.001405
    0.631579      0.000000     -0.003912     -0.003524     -0.016990     -0.015384      0.000388      0.001606
    0.684211      0.000000     -0.003987     -0.003592     -0.019113     -0.017302      0.000395      0.001811
    0.736842      0.000000     -0.004041     -0.003641     -0.021264     -0.019245      0.000400      0.002018
    0.789474      0.000000     -0.004076     -0.003673     -0.023432     -0.021204      0.000403      0.002228
    0.842105      0.000000     -0.004098     -0.003692     -0.025609     -0.023171      0.000405      0.002438
    0.894737      0.000000     -0.004108     -0.003702     -0.027789     -0.025140      0.000406      0.002649
    0.947368      0.000000     -0.004111     -0.003705     -0.029967     -0.027106      0.000407      0.002860
    1.000000      0.028571     -0.002933     -0.002641     -0.032139     -0.029068      0.000292      0.003071
    1.000000      0.057143     -0.001755     -0.001577     -0.032138     -0.029067      0.000178      0.003071
    1.000000      0.085714     -0.000578     -0.000515     -0.032138     -0.029066      0.000063      0.003071
    1.000000      0.114286      0.000598      0.000547     -0.032138     -0.029066     -0.000051      0.003071
    1.000000      0.142857      0.001775      0.001609     -0.032138     -0.029067     -0.000166      0.003071
    1.000000      0.171429      0.002952      0.002672     -0.032139     -0.029067     -0.000280      0.003071
    0.947368      0.200000      0.004131      0.003736     -0.029967     -0.027107     -0.000395      0.002860
    0.894737      0.200000      0.004127      0.003732     -0.027791     -0.025142     -0.000395      0.002649
    0.842105      0.200000      0.004117      0.003722     -0.025612     -0.023174     -0.000394      0.002438
    0.789474      0.200000      0.004095      0.003703     -0.023435     -0.021207     -0.000392      0.002227
    0.736842      0.200000      0.004059      0.003670     -0.021267     -0.019249     -0.000389      0.002018
    0.684211      0.200000      0.004005      0.003620     -0.019117     -0.017307     -0.000385      0.001810
    0.631579      0.200000      0.003929      0.003551     -0.016995     -0.015389     -0.000378      0.001605
    0.578947      0.200000      0.003827      0.003458     -0.014913     -0.013508     -0.000369      0.001405
    0.526316      0.200000      0.003697      0.003339     -0.012886     -0.011677     -0.000358      0.001209
    0.473684      0.200000      0.003534      0.003190     -0.010930     -0.009910     -0.000344      0.001020
    0.421053      0.200000      0.003334      0.003008     -0.009063     -0.008223     -0.000326      0.000840
    0.368421      0.200000      0.003095      0.002790     -0.007305     -0.006636     -0.000305      0.000669
    0.315789      0.200000      0.002812      0.002532     -0.005678     -0.005167     -0.000280      0.000511
    0.263158      0.200000      0.002482      0.002232     -0.004206     -0.003839     -0.000251      0.000367
    0.210526      0.200000      0.002102      0.001886     -0.002915     -0.002676     -0.000216      0.000240
    0.157895      0.200000      0.001669      0.001493     -0.001832     -0.001700     -0.000176      0.000132
    0.105263      0.200000      0.001182      0.001053     -0.000984     -0.000937     -0.000129      0.000047
    0.052632      0.200000      0.000640      0.000569     -0.000391     -0.000398     -0.000071     -0.000008
    0.052632      0.028571     -0.000408     -0.000349     -0.000308     -0.000295      0.000059      0.000013
    0.052632      0.057143     -0.000237     -0.000203     -0.000266     -0.000239      0.000034      0.000027
    0.052632      0.085714     -0.000080     -0.000070     -0.000246     -0.000212      0.000010      0.000034
    0.052632      0.114286      0.000073      0.000059     -0.000246     -0.000211     -0.000014      0.000035
    0.052632      0.142857      0.000232      0.000194     -0.000265     -0.000236     -0.000037      0.000029
    0.052632      0.171429      0.000409      0.000350     -0.000309     -0.000293     -0.000059      0.000016
    0.105263      0.028571     -0.000802     -0.000705     -0.000899     -0.000828      0.000097      0.000070
    0.105263      0.057143     -0.000470     -0.000413     -0.000853     -0.000769      0.000057      0.000084
    0.105263      0.085714     -0.000156     -0.000139     -0.000831     -0.000740      0.000018      0.000091
    0.105263      0.114286      0.000153      0.000132     -0.000833     -0.000742     -0.000021      0.000091
    0.105263      0.142857      0.000470      0.000412     -0.000859     -0.000776     -0.000058      0.000083
    0.105263      0.171429      0.000810      0.000716     -0.000911     -0.000843     -0.000093      0.000068
    0.157895      0.028571     -0.001156     -0.001027     -0.001755     -0.001601      0.000129      0.000154
