   x_initial    y_initial      x_final      y_final          u_x          u_y
--------------------------------------------------------------------------------
    0.000000     0.000000    -0.000000    -0.000000    -0.000000    -0.000000
    1.000000     0.000000     0.996294    -0.029069    -0.003706    -0.029069
    1.000000     0.200000     1.003736     0.170932     0.003736    -0.029068
    0.000000     0.200000     0.000000     0.200000     0.000000    -0.000000
    0.000000     0.171429     0.000000     0.171429     0.000000     0.000000
    0.000000     0.142857     0.000000     0.142857     0.000000     0.000000
    0.000000     0.114286     0.000000     0.114286     0.000000     0.000000
    0.000000     0.085714    -0.000000     0.085714    -0.000000     0.000000
    0.000000     0.057143    -0.000000     0.057143    -0.000000     0.000000
    0.000000     0.028571    -0.000000     0.028571    -0.000000     0.000000
    0.052632     0.000000     0.052106    -0.000387    -0.000525    -0.000387
    0.105263     0.000000     0.104234    -0.000921    -0.001029    -0.000921
    0.157895     0.000000     0.156417    -0.001684    -0.001478    -0.001684
    0.210526     0.000000     0.208653    -0.002661    -0.001873    -0.002661
    0.263158     0.000000     0.260940    -0.003827    -0.002218    -0.003827
    0.315789     0.000000     0.313273    -0.005157    -0.002516    -0.005157
    0.368421     0.000000     0.365649    -0.006626    -0.002772    -0.006626
    0.421053     0.000000     0.418065    -0.008215    -0.002988    -0.008215
    0.473684     0.000000     0.470516    -0.009902    -0.003168    -0.009902
    0.526316     0.000000     0.523001    -0.011670    -0.003315    -0.011670
    0.578947     0.000000     0.575515    -0.013502    -0.003432    -0.013502
    0.631579     0.000000     0.628055    -0.015384    -0.003524    -0.015384
    0.684211     0.000000     0.680618    -0.017302    -0.003592    -0.017302
    0.736842     0.000000     0.733201    -0.019245    -0.003641    -0.019245
    0.789474     0.000000     0.785801    -0.021204    -0.003673    -0.021204
    0.842105     0.000000     0.838413    -0.023171    -0.003692    -0.023171
    0.894737     0.000000     0.891035    -0.025140    -0.003702    -0.025140
    0.947368     0.000000     0.943664    -0.027106    -0.003705    -0.027106
    1.000000     0.028571     0.997359    -0.000496    -0.002641    -0.029068
    1.000000     0.057143     0.998423     0.028076    -0.001577    -0.029067
    1.000000     0.085714     0.999485     0.056648    -0.000515    -0.029066
    1.000000     0.114286     1.000547     0.085219     0.000547    -0.029066
    1.000000     0.142857     1.001609     0.113790     0.001609    -0.029067
    1.000000     0.171429     1.002672     0.142361     0.002672    -0.029067
    0.947368     0.200000     0.951104     0.172893     0.003736    -0.027107
    0.894737     0.200000     0.898469     0.174858     0.003732    -0.025142
    0.842105     0.200000     0.845828     0.176826     0.003722    -0.023174
    0.789474     0.200000     0.793176     0.178793     0.003703    -0.021207
    0.736842     0.200000     0.740512     0.180751     0.003670    -0.019249
    0.684211     0.200000     0.687831     0.182693     0.003620    -0.017307
    0.631579     0.200000     0.635130     0.184611     0.003551    -0.015389
    0.578947     0.200000     0.582405     0.186492     0.003458    -0.013508
