   x_initial    y_initial      x_final      y_final          u_x          u_y
--------------------------------------------------------------------------------
    0.000000     0.000000    -0.000000    -0.000000    -0.000000    -0.000000
    1.000000     0.000000     0.995888    -0.032140    -0.004112    -0.032140
    1.000000     0.200000     1.004131     0.167861     0.004131    -0.032139
    0.000000     0.200000     0.000000     0.200000     0.000000    -0.000000
    0.000000     0.171429     0.000000     0.171429     0.000000    -0.000000
    0.000000     0.142857     0.000000     0.142857     0.000000     0.000000
    0.000000     0.114286     0.000000     0.114286     0.000000     0.000000
    0.000000     0.085714    -0.000000     0.085714    -0.000000     0.000000
    0.000000     0.057143    -0.000000     0.057143    -0.000000     0.000000
    0.000000     0.028571    -0.000000     0.028571    -0.000000     0.000000
    0.052632     0.000000     0.052020    -0.000378    -0.000612    -0.000378
    0.105263     0.000000     0.104096    -0.000969    -0.001167    -0.000969
    0.157895     0.000000     0.156235    -0.001818    -0.001660    -0.001818
    0.210526     0.000000     0.208432    -0.002903    -0.002094    -0.002903
    0.263158     0.000000     0.260684    -0.004196    -0.002474    -0.004196
    0.315789     0.000000     0.312987    -0.005669    -0.002802    -0.005669
    0.368421     0.000000     0.365338    -0.007297    -0.003083    -0.007297
    0.421053     0.000000     0.417731    -0.009055    -0.003321    -0.009055
    0.473684     0.000000     0.470165    -0.010923    -0.003520    -0.010923
    0.526316     0.000000     0.522634    -0.012880    -0.003682    -0.012880
    0.578947     0.000000     0.575136    -0.014907    -0.003811    -0.014907
    0.631579     0.000000     0.627667    -0.016990    -0.003912    -0.016990
    0.684211     0.000000     0.680223    -0.019113    -0.003987    -0.019113
    0.736842     0.000000     0.732801    -0.021264    -0.004041    -0.021264
    0.789474     0.000000     0.785397    -0.023432    -0.004076    -0.023432
    0.842105     0.000000     0.838008    -0.025609    -0.004098    -0.025609
    0.894737     0.000000     0.890629    -0.027789    -0.004108    -0.027789
    0.947368     0.000000     0.943257    -0.029967    -0.004111    -0.029967
    1.000000     0.028571     0.997067    -0.003568    -0.002933    -0.032139
    1.000000     0.057143     0.998245     0.025005    -0.001755    -0.032138
    1.000000     0.085714     0.999422     0.053577    -0.000578    -0.032138
    1.000000     0.114286     1.000598     0.082148     0.000598    -0.032138
    1.000000     0.142857     1.001775     0.110719     0.001775    -0.032138
    1.000000     0.171429     1.002952     0.139290     0.002952    -0.032139
    0.947368     0.200000     0.951499     0.170033     0.004131    -0.029967
    0.894737     0.200000     0.898864     0.172209     0.004127    -0.027791
    0.842105     0.200000     0.846222     0.174388     0.004117    -0.025612
    0.789474     0.200000     0.793569     0.176565     0.004095    -0.023435
    0.736842     0.200000     0.740901     0.178733     0.004059    -0.021267
    0.684211     0.200000     0.688215     0.180883     0.004005    -0.019117
    0.631579     0.200000     0.635508     0.183005     0.003929    -0.016995
    0.578947     0.200000     0.582775     0.185087     0.003827    -0.014913
