           x             y            z             ux            uy           uz 
------------------------------------------------------
    0.000000      0.000000     0.000000     0.000000      0.000000     0.000000 
    1.000000      0.000000     0.000000    -0.003589     -0.000243    -0.027833 
    1.000000      0.200000     0.000000    -0.003570     -0.000243    -0.027903 
    0.000000      0.200000     0.000000     0.000000      0.000000     0.000000 
    0.000000      0.000000     0.200000     0.000000      0.000000     0.000000 
    1.000000      0.000000     0.200000     0.003553     -0.000172    -0.027833 
    1.000000      0.200000     0.200000     0.003572     -0.000175    -0.027902 
    0.000000      0.200000     0.200000     0.000000      0.000000     0.000000 
    0.000000      0.100000     0.000000     0.000000      0.000000     0.000000 
    0.100000      0.000000     0.000000    -0.000988     -0.000221    -0.000764 
    0.200000      0.000000     0.000000    -0.001740     -0.000227    -0.002272 
    0.300000      0.000000     0.000000    -0.002336     -0.000231    -0.004469 
    0.400000      0.000000     0.000000    -0.002818     -0.000219    -0.007183 
    0.500000      0.000000     0.000000    -0.003138     -0.000225    -0.010270 
    0.600000      0.000000     0.000000    -0.003358     -0.000230    -0.013605 
    0.700000      0.000000     0.000000    -0.003489     -0.000231    -0.017093 
    0.800000      0.000000     0.000000    -0.003558     -0.000232    -0.020661 
    0.900000      0.000000     0.000000    -0.003583     -0.000237    -0.024251 
    1.000000      0.100000     0.000000    -0.003581     -0.000243    -0.027868 
    0.900000      0.200000     0.000000    -0.003564     -0.000231    -0.024322 
    0.800000      0.200000     0.000000    -0.003538     -0.000214    -0.020732 
    0.700000      0.200000     0.000000    -0.003472     -0.000189    -0.017165 
    0.600000      0.200000     0.000000    -0.003329     -0.000161    -0.013676 
    0.500000      0.200000     0.000000    -0.003112     -0.000112    -0.010340 
    0.400000      0.200000     0.000000    -0.002760     -0.000070    -0.007251 
    0.300000      0.200000     0.000000    -0.002316     -0.000013    -0.004532 
    0.200000      0.200000     0.000000    -0.001703      0.000058    -0.002329 
    0.100000      0.200000     0.000000    -0.000977      0.000128    -0.000786 
    0.100000      0.000000     0.200000     0.000962      0.000168    -0.000741 
    0.200000      0.000000     0.200000     0.001715      0.000103    -0.002282 
    0.300000      0.000000     0.200000     0.002314      0.000046    -0.004481 
    0.400000      0.000000     0.200000     0.002768     -0.000006    -0.007191 
    0.500000      0.000000     0.200000     0.003100     -0.000056    -0.010275 
    0.600000      0.000000     0.200000     0.003323     -0.000097    -0.013611 
    0.700000      0.000000     0.200000     0.003456     -0.000123    -0.017099 
    0.800000      0.000000     0.200000     0.003525     -0.000146    -0.020664 
    0.900000      0.000000     0.200000     0.003549     -0.000162    -0.024252 
    1.000000      0.100000     0.200000     0.003561     -0.000173    -0.027867 
    0.900000      0.200000     0.200000     0.003568     -0.000168    -0.024320 
    0.800000      0.200000     0.200000     0.003545     -0.000165    -0.020728 
    0.700000      0.200000     0.200000     0.003478     -0.000164    -0.017160 
