   x_initial       x_final           u_x
------------------------------------------
    0.000000      0.000000      0.000000
    0.010101      0.025967      0.015866
    0.020202      0.051930      0.031728
    0.030303      0.077885      0.047582
    0.040404      0.103828      0.063424
    0.050505      0.129755      0.079250
    0.060606      0.155662      0.095056
    0.070707      0.181545      0.110838
    0.080808      0.207401      0.126592
    0.090909      0.233224      0.142315
    0.101010      0.259011      0.158001
    0.111111      0.284759      0.173648
    0.121212      0.310463      0.189251
    0.131313      0.336120      0.204807
    0.141414      0.361725      0.220311
    0.151515      0.387274      0.235759
    0.161616      0.412764      0.251148
    0.171717      0.438191      0.266474
    0.181818      0.463551      0.281733
    0.191919      0.488840      0.296920
    0.202020      0.514054      0.312033
    0.212121      0.539189      0.327068
    0.222222      0.564242      0.342020
    0.232323      0.589209      0.356886
    0.242424      0.614087      0.371662
    0.252525      0.638870      0.386345
    0.262626      0.663557      0.400931
    0.272727      0.688142      0.415415
    0.282828      0.712623      0.429795
    0.292929      0.736996      0.444067
    0.303030      0.761257      0.458227
    0.313131      0.785402      0.472271
    0.323232      0.809429      0.486197
    0.333333      0.833333      0.500000
    0.343434      0.857112      0.513677
    0.353535      0.880761      0.527225
    0.363636      0.904277      0.540641
    0.373737      0.927657      0.553920
    0.383838      0.950898      0.567060
    0.393939      0.973996      0.580057
    0.404040      0.996948      0.592908
    0.414141      1.019751      0.605610
    0.424242      1.042401      0.618159
    0.434343      1.064896      0.630553
    0.444444      1.087232      0.642788
    0.454545      1.109406      0.654861
    0.464646      1.131415      0.666769
    0.474747      1.153257      0.678509
    0.484848      1.174927      0.690079
    0.494949      1.196424      0.701475
    0.505051      1.217745      0.712694
    0.515152      1.238886      0.723734
    0.525253      1.259844      0.734592
    0.535354      1.280618      0.745264
    0.545455      1.301204      0.755750
    0.555556      1.321600      0.766044
    0.565657      1.341803      0.776146
    0.575758      1.361811      0.786053
    0.585859      1.381620      0.795762
    0.595960      1.401230      0.805270
    0.606061      1.420637      0.814576
    0.616162      1.439838      0.823677
    0.626263      1.458832      0.832570
    0.636364      1.477617      0.841254
    0.646465      1.496190      0.849725
    0.656566      1.514549      0.857983
    0.666667      1.532692      0.866025
    0.676768      1.550617      0.873849
    0.686869      1.568322      0.881453
    0.696970      1.585805      0.888835
    0.707071      1.603064      0.895994
    0.717172      1.620098      0.902927
    0.727273      1.636905      0.909632
    0.737374      1.653482      0.916108
    0.747475      1.669829      0.922354
    0.757576      1.685944      0.928368
    0.767677      1.701825      0.934148
    0.777778      1.717470      0.939693
    0.787879      1.732880      0.945001
    0.797980      1.748051      0.950071
    0.808081      1.762983      0.954902
    0.818182      1.777675      0.959493
    0.828283      1.792125      0.963842
    0.838384      1.806333      0.967949
    0.848485      1.820296      0.971812
    0.858586      1.834016      0.975430
    0.868687      1.847489      0.978802
    0.878788      1.860717      0.981929
    0.888889      1.873697      0.984808
    0.898990      1.886429      0.987439
    0.909091      1.898912      0.989821
    0.919192      1.911147      0.991955
    0.929293      1.923131      0.993838
    0.939394      1.934866      0.995472
    0.949495      1.946350      0.996855
    0.959596      1.957583      0.997987
    0.969697      1.968564      0.998867
    0.979798      1.979295      0.999497
    0.989899      1.989773      0.999874
    1.000000      2.000000      1.000000
